TimeBST,TemperatureC,Dew PointC,Humidity,Sea Level PressurehPa,VisibilityKm,Wind Direction,Wind SpeedKm/h,Gust SpeedKm/h,Precipitationmm,Events,Conditions,WindDirDegrees,DateUTC<br />
12:00 am,16,11,68,1021,30,West,11.1,,,,,270,2015-06-28 23:00:00<br />
12:20 am,14,10,77,1021,-9999,West,13,-,N/A,,Clear,280,2015-06-28 23:20:00<br />
12:50 am,14,10,77,1021,-9999,West,13,-,N/A,,Clear,280,2015-06-28 23:50:00<br />
1:00 am,15,10,66,1021,35,West,11.1,,,,Scattered Clouds,280,2015-06-29 00:00:00<br />
1:20 am,14,10,77,1021,10,West,13,-,N/A,,Unknown,280,2015-06-29 00:20:00<br />
1:50 am,14,10,77,1021,10,West,14.8,-,N/A,,Unknown,280,2015-06-29 00:50:00<br />
2:00 am,14,10,70,1021,35,West,14.8,,,,Mostly Cloudy,270,2015-06-29 01:00:00<br />
2:20 am,14,11,82,1021,10,West,11.1,-,N/A,,Unknown,270,2015-06-29 01:20:00<br />
2:50 am,14,11,82,1021,-9999,West,14.8,-,N/A,,Clear,270,2015-06-29 01:50:00<br />
3:00 am,14,10,74,1021,27,West,13,,,,Mostly Cloudy,260,2015-06-29 02:00:00<br />
3:20 am,14,11,82,1021,-9999,West,9.3,-,N/A,,Clear,260,2015-06-29 02:20:00<br />
3:50 am,14,11,82,1021,-9999,West,7.4,-,N/A,,Clear,270,2015-06-29 02:50:00<br />
4:00 am,13,11,78,1021,26,West,9.3,,,,Mostly Cloudy,260,2015-06-29 03:00:00<br />
4:20 am,14,11,82,1021,-9999,West,7.4,-,N/A,,Clear,270,2015-06-29 03:20:00<br />
4:50 am,14,11,82,1021,-9999,West,11.1,-,N/A,,Clear,270,2015-06-29 03:50:00<br />
5:00 am,14,11,78,1021,23,West,9.3,,,,Overcast,260,2015-06-29 04:00:00<br />
5:20 am,14,11,82,1021,-9999,West,7.4,-,N/A,,Clear,270,2015-06-29 04:20:00<br />
5:50 am,14,11,82,1022,-9999,West,5.6,-,N/A,,Clear,270,2015-06-29 04:50:00<br />
6:00 am,14,11,75,1022,22,West,5.6,,,,Mostly Cloudy,270,2015-06-29 05:00:00<br />
6:20 am,15,11,77,1022,-9999,Variable,5.6,-,N/A,,Clear,0,2015-06-29 05:20:00<br />
6:50 am,15,11,77,1022,-9999,Variable,5.6,-,N/A,,Clear,0,2015-06-29 05:50:00<br />
7:00 am,15,10,67,1022,22,West,5.6,,,,,270,2015-06-29 06:00:00<br />
7:20 am,16,11,72,1022,-9999,Variable,3.7,-,N/A,,Clear,0,2015-06-29 06:20:00<br />
7:50 am,17,11,68,1022,-9999,Variable,5.6,-,N/A,,Clear,0,2015-06-29 06:50:00<br />
8:00 am,17,11,58,1022,21,West,7.4,,,,Partly Cloudy,280,2015-06-29 07:00:00<br />
8:20 am,17,11,68,1022,-9999,Variable,5.6,-,N/A,,Clear,0,2015-06-29 07:20:00<br />
8:50 am,18,11,64,1022,-9999,Variable,7.4,-,N/A,,Clear,0,2015-06-29 07:50:00<br />
9:00 am,18,11,51,1022,20,West,5.6,,,,Scattered Clouds,270,2015-06-29 08:00:00<br />
9:20 am,18,11,64,1022,-9999,WSW,11.1,-,N/A,,Clear,250,2015-06-29 08:20:00<br />
9:50 am,19,10,56,1023,10,West,11.1,-,N/A,,Partly Cloudy,260,2015-06-29 08:50:00<br />
10:00 am,19,9,45,1023,25,SSW,11.1,,,,,210,2015-06-29 09:00:00<br />
10:20 am,20,10,52,1023,10,Variable,11.1,-,N/A,,Partly Cloudy,0,2015-06-29 09:20:00<br />
10:50 am,21,9,46,1022,10,SW,13,-,N/A,,Partly Cloudy,230,2015-06-29 09:50:00<br />
11:00 am,20,10,38,1023,26,West,13,,,,,260,2015-06-29 10:00:00<br />
11:20 am,21,9,46,1022,10,Variable,13,-,N/A,,Partly Cloudy,0,2015-06-29 10:20:00<br />
11:50 am,21,9,46,1022,10,WSW,11.1,-,N/A,,Partly Cloudy,250,2015-06-29 10:50:00<br />
12:00 pm,22,9,33,1022,30,West,14.8,,,,,270,2015-06-29 11:00:00<br />
12:20 pm,22,9,43,1022,-9999,WSW,14.8,-,N/A,,Clear,250,2015-06-29 11:20:00<br />
12:50 pm,22,9,43,1022,10,SW,16.7,-,N/A,,Partly Cloudy,230,2015-06-29 11:50:00<br />
1:00 pm,22,10,34,1022,28,SW,14.8,,,,Scattered Clouds,230,2015-06-29 12:00:00<br />
1:20 pm,23,9,41,1022,-9999,WSW,16.7,-,N/A,,Clear,240,2015-06-29 12:20:00<br />
1:50 pm,23,8,38,1022,-9999,SW,18.5,-,N/A,,Clear,230,2015-06-29 12:50:00<br />
2:00 pm,22,9,31,1022,30,SSW,16.7,,,,,210,2015-06-29 13:00:00<br />
2:20 pm,23,9,41,1022,-9999,West,11.1,-,N/A,,Clear,260,2015-06-29 13:20:00<br />
2:50 pm,24,9,38,1022,-9999,SW,14.8,-,N/A,,Clear,230,2015-06-29 13:50:00<br />
3:00 pm,24,10,31,1022,30,West,13,,,,,260,2015-06-29 14:00:00<br />
3:20 pm,24,8,36,1022,-9999,WSW,18.5,-,N/A,,Clear,250,2015-06-29 14:20:00<br />
